"ASSET_ID","ASSET_NAMESPACE_ASSET_ID","ASSET_TYPE_ASSET_ID","ASSET_LABEL","ASSET_ACTIVATE_DT","ASSET_DEACTIVATE_DT","ASSET_DSC"
67,0,2,"DDI",2009-05-19 00:00:00,,""
86,3,46,"XQuery Resources",2009-06-19 00:00:00,,""
5,3,1,"Physical Class",2009-02-01 00:00:00,,"Base type for physical Classes."
106,0,2,"i2b2",2009-07-01 00:00:00,,""
129,3,1,"Analytical Class",2010-01-06 00:00:00,,""
1,0,1,"Asset Type",2008-06-01 00:00:00,,"FMDR base type - base type for other base types, as well as itself.  It has the base resources for the FMDR as well, XSD libraries, Master Metadata (the doc that services start with). "
4,3,1,"Logical Model",2008-06-01 00:00:00,,"FURTHeR Logical Model.  Currently a work in progress.  "
46,3,1,"Model Library",2009-04-21 00:00:00,,""
3,0,2,"FURTHeR",2008-06-01 00:00:00,,"This is the FURTHeR Namespace.  Its metadata are contained in its resources. "
2,0,1,"Namespace",2008-06-01 00:00:00,,"The namespace type for the FMDR.  All namespaces declared in the FMDR should be of this type."
41,3,4,"Clinical Model",2009-03-31 00:00:00,,"Clinical data models"
557,3,129,"Location",2010-08-26 00:00:00,,""
558,3,216,"id",2010-08-26 00:00:00,,""
559,3,216,"location",2010-08-26 00:00:00,,""
560,3,216,"locationText",2010-08-26 00:00:00,,""
561,3,216,"locationType",2010-08-26 00:00:00,,""
562,3,216,"personLocationType",2010-08-26 00:00:00,,""
563,3,216,"startDateTime",2010-08-26 00:00:00,,""
564,3,216,"endDtateTime",2010-08-26 00:00:00,,""
736,3,1,"Data Source",2010-11-22 00:00:00,,""
933,3,4,"Logical View Model",2011-02-18 00:00:00,,""
953,3,1,"Logical Class",2011-02-23 00:00:00,,""
954,3,953,"Person",2011-02-23 00:00:00,,""
955,3,953,"Diagnosis",2011-02-23 00:00:00,,""
956,3,953,"Procedure",2011-02-23 00:00:00,,""
957,3,953,"LabResult",2011-02-23 00:00:00,,""
958,3,953,"PharmaceuricalOrder",2011-02-23 00:00:00,,""
959,3,953,"CauseOfDeath",2011-02-23 00:00:00,,""
50000004,50000000,216,"personId",2013-05-09 14:53:12,,""
50000006,50000000,216,"genderConceptId",2013-05-09 14:54:36,,""
50000008,50000000,216,"raceConceptId",2013-05-09 14:54:41,,""
50000010,50000000,216,"locationConceptId",2013-05-09 14:54:46,,""
50000012,50000000,216,"yearOfBirth",2013-05-09 14:54:50,,""
205,106,129,"ProviderDimension",2010-03-18 00:00:00,,""
206,106,129,"PatientDimension",2010-03-18 00:00:00,,""
207,106,129,"EncounterDimension",2010-03-18 00:00:00,,""
208,106,129,"ObservationFact",2010-03-18 00:00:00,,""
50000014,50000000,216,"conditionOccurrenceId",2013-05-09 14:54:59,,""
50000016,50000000,216,"conditionConceptId",2013-05-09 14:55:05,,""
50000018,50000000,216,"conditionEndDate",2013-05-09 14:55:10,,""
50000020,50000000,216,"conditionStartDate",2013-05-09 14:55:18,,""
50000022,50000000,216,"dxQualifier",2013-05-09 14:55:25,,""
50000024,50000000,216,"conditionOccurrenceRef",2013-05-09 14:55:31,,""
50000074,50000000,5,"ConditionEra",2013-06-10 14:24:15,,""
