"ASSET_ASSOC_ID","LS_ASSET_ID","ASSOC_ASSET_ID","RS_ASSET_ID","ENABLED"
11,177,227,217,"Y"
12,177,227,279,"Y"
13,177,227,276,"Y"
14,177,227,221,"Y"
15,177,227,222,"Y"
16,177,227,288,"Y"
17,177,227,287,"Y"
18,177,227,220,"Y"
19,177,227,280,"Y"
20,177,227,218,"Y"
21,177,227,224,"Y"
22,177,227,281,"Y"
23,177,227,289,"Y"
24,177,227,290,"Y"
25,177,227,291,"Y"
26,177,227,219,"Y"
27,177,227,283,"Y"
28,177,227,225,"Y"
29,177,227,284,"Y"
50000005,50000001,227,50000004,"Y"
50000007,50000001,227,50000006,"Y"
50000009,50000001,227,50000008,"Y"
50000011,50000001,227,50000010,"Y"
50000013,50000001,227,50000012,"Y"
50000015,50000003,227,50000014,"Y"
50000017,50000003,227,50000016,"Y"
50000019,50000003,227,50000018,"Y"
50000021,50000003,227,50000020,"Y"
50000023,50000003,227,50000022,"Y"
50000025,50000003,227,50000024,"Y"
50000260,177,363,50000001,"Y"
50000280,292,363,50000124,"Y"
50000283,50000000,227,50000282,"Y"
50000284,298,363,50000282,"Y"
50000174,288,363,50000140,"N"
84,179,227,297,"Y"
50000429,219,50000420,50000421,"Y"
50000430,217,50000420,50000421,"Y"
213,177,227,516,"Y"
214,177,227,517,"Y"
41,179,227,295,"Y"
42,179,227,305,"Y"
43,179,227,306,"Y"
44,179,227,296,"Y"
45,179,227,293,"Y"
46,179,227,294,"Y"
47,179,227,292,"Y"
48,179,227,301,"Y"
49,179,227,302,"Y"
50,179,227,300,"Y"
51,179,227,299,"Y"
52,179,227,298,"Y"
53,179,227,304,"Y"
54,179,227,303,"Y"
57,179,227,377,"Y"
92,277,227,456,"Y"
93,277,227,457,"Y"
94,277,227,458,"Y"
95,277,227,459,"Y"
96,277,227,460,"Y"
97,277,227,461,"Y"
98,277,227,462,"Y"
99,277,227,463,"Y"
100,277,227,464,"Y"
101,277,227,465,"Y"
102,277,227,466,"Y"
103,277,227,467,"Y"
104,277,227,468,"Y"
105,277,227,469,"Y"
106,277,227,470,"Y"
107,277,227,471,"Y"
108,277,227,472,"Y"
109,277,227,473,"Y"
110,277,227,474,"Y"
111,277,227,475,"Y"
112,277,227,476,"Y"
113,277,227,477,"Y"
114,277,227,478,"Y"
115,277,227,479,"Y"
116,277,227,480,"Y"
117,277,227,481,"Y"
118,277,227,482,"Y"
119,277,227,483,"Y"
120,277,227,484,"Y"
121,277,227,485,"Y"
232,177,227,536,"Y"
279,557,227,563,"Y"
280,557,227,564,"Y"
278,557,227,560,"Y"
312,179,227,596,"Y"
252,177,227,223,"Y"
272,177,227,556,"Y"
274,557,227,558,"Y"
275,557,227,559,"Y"
276,557,227,561,"Y"
277,557,227,562,"Y"
315,179,227,597,"Y"
612,2850,227,2851,"Y"
613,2850,227,2854,"Y"
614,2850,227,2852,"Y"
615,2850,227,2853,"Y"
616,218,363,2851,"Y"
617,516,363,2854,"Y"
618,217,363,2852,"Y"
619,219,363,2853,"Y"
751,301,363,3600,"Y"
752,299,363,3604,"Y"
50000172,218,363,50000004,"Y"
50000173,219,363,50000008,"Y"
50000175,516,363,50000012,"Y"
50000176,295,363,50000114,"Y"
50000177,295,363,50000088,"Y"
50000178,299,363,50000126,"Y"
50000179,300,363,50000116,"Y"
50000180,301,363,50000130,"Y"
50000181,303,363,50000118,"Y"
50000182,303,363,50000080,"Y"
50000183,466,363,50000163,"Y"
50000184,467,363,50000165,"Y"
50000185,469,363,50000169,"Y"
50000200,179,363,50000074,"Y"
50000201,179,363,50000076,"Y"
50000202,277,363,50000160,"Y"
50000240,536,363,50000004,"Y"
50000301,177,227,50000300,"Y"
50000302,50000300,363,50000282,"Y"
50000320,276,363,50000012,"Y"
50000340,297,363,50000128,"Y"
50000344,50000160,227,50000343,"Y"
50000345,465,363,50000343,"Y"
50000363,178,363,50000360,"Y"
50000364,557,363,50000282,"Y"
462,178,227,2620,"Y"
463,178,227,2621,"Y"
464,178,227,2622,"Y"
465,178,227,2623,"Y"
466,178,227,2624,"Y"
467,178,227,2625,"Y"
468,178,227,2626,"Y"
469,178,227,2627,"Y"
470,178,227,2628,"Y"
471,178,227,2629,"Y"
472,178,227,2630,"Y"
473,178,227,2631,"Y"
474,178,227,2632,"Y"
475,178,227,2633,"Y"
476,178,227,2634,"Y"
732,3589,227,3590,"Y"
733,3589,227,3591,"Y"
734,3589,227,3592,"Y"
735,3589,227,3593,"Y"
736,3589,227,3594,"Y"
737,3589,227,3595,"Y"
738,3589,227,3596,"Y"
739,3589,227,3597,"Y"
740,3589,227,3598,"Y"
741,3589,227,3599,"Y"
742,3589,227,3600,"Y"
743,3589,227,3601,"Y"
744,3589,227,3602,"Y"
745,3589,227,3603,"Y"
746,3589,227,3604,"Y"
747,3589,227,3605,"Y"
748,3589,227,3606,"Y"
749,295,363,3591,"Y"
753,179,227,3610,"Y"
754,179,227,3611,"Y"
750,300,363,3603,"Y"
50000079,50000074,227,50000078,"Y"
50000081,50000074,227,50000080,"Y"
50000083,50000074,227,50000082,"Y"
50000085,50000074,227,50000084,"Y"
50000087,50000074,227,50000086,"Y"
50000089,50000074,227,50000088,"Y"
50000091,50000074,227,50000090,"Y"
50000093,50000074,227,50000092,"Y"
50000095,50000075,227,50000094,"Y"
50000097,50000075,227,50000096,"Y"
50000099,50000075,227,50000098,"Y"
50000101,50000075,227,50000100,"Y"
50000103,50000075,227,50000102,"Y"
50000105,50000075,227,50000104,"Y"
50000107,50000075,227,50000106,"Y"
50000109,50000076,227,50000108,"Y"
50000111,50000076,227,50000110,"Y"
50000113,50000076,227,50000112,"Y"
50000115,50000076,227,50000114,"Y"
50000117,50000076,227,50000116,"Y"
50000119,50000076,227,50000118,"Y"
50000121,50000076,227,50000120,"Y"
50000123,50000076,227,50000122,"Y"
50000125,50000076,227,50000124,"Y"
50000127,50000076,227,50000126,"Y"
50000129,50000076,227,50000128,"Y"
