"ASSET_VERSION_SEQ_ID","ASSET_ID","ASSET_VERSION","ASSET_STATUS_ID","ASSET_UPDATED_DTS","ASSET_UPDATED_BY_USER_ID","ASSET_UPDATE_DSC","ASSET_PROPERTIES_XML"
82,1,1,1,2009-03-23 00:00:00,"","First pass",
128,86,1,1,2009-06-19 00:00:00,"","",
21,3,1,1,2008-12-29 00:00:00,"","",
22,2,1,1,2008-12-29 00:00:00,"","",
83,5,1,1,2009-03-28 00:00:00,"","",
61,4,1,1,2009-03-18 00:00:00,"","",
84,41,1,1,2009-03-31 00:00:00,"","Initial iteration",
554,934,1,1,2011-02-18 00:00:00,"","",
580,961,1,1,2011-02-23 00:00:00,"","",
582,963,1,1,2011-02-23 00:00:00,"","",
583,964,1,1,2011-02-23 00:00:00,"","",
584,965,1,1,2011-02-23 00:00:00,"","",
585,966,1,1,2011-02-23 00:00:00,"","",
586,967,1,1,2011-02-23 00:00:00,"","",
195,206,1,1,2010-06-14 00:00:00,"","",
335,696,1,1,2010-10-25 00:00:00,"","",
553,933,1,1,2011-02-18 00:00:00,"","",
576,957,1,1,2011-02-23 00:00:00,"","",
578,959,1,1,2011-02-23 00:00:00,"","",
1073,1453,1,1,2011-04-06 00:00:00,"","",
176,177,1,1,2010-05-19 00:00:00,"","",
236,419,1,1,2010-06-29 00:00:00,"","iteration 1",
535,736,1,1,2011-02-09 00:00:00,"","",
536,217,1,1,2011-02-10 00:00:00,"","",
579,960,1,1,2011-02-23 00:00:00,"","",
581,962,1,1,2011-02-23 00:00:00,"","",
587,968,1,1,2011-02-23 00:00:00,"","",
588,969,1,1,2011-02-23 00:00:00,"","",
589,971,1,1,2011-02-23 00:00:00,"","",
573,954,1,1,2011-02-23 00:00:00,"","",
574,955,1,1,2011-02-23 00:00:00,"","",
575,956,1,1,2011-02-23 00:00:00,"","",
577,958,1,1,2011-02-23 00:00:00,"","",
2331,3589,1,1,2012-06-25 00:00:00,"","",
2332,3871,1,1,2012-06-26 00:00:00,"","",
2209,2729,1,1,2012-02-28 00:00:00,"","",
2329,3869,1,1,2012-06-25 00:00:00,"","",
2330,3870,1,1,2012-06-25 00:00:00,"","",
